,順位,コード,市場,名称,日付,取引値,前日比,増加値,出来高
0,1,1689,東証ETF,WisdomTree 天然ガス上場投信,15:00,2,100,1,8078100
1,2,6031,マザーズ,サイジニア(株),15:00,1374,27.93,300,9100
2,3,6063,東証JQS,日本エマージェンシーアシスタンス(株),15:00,1394,27.42,300,20500
3,4,6177,マザーズ,ＡｐｐＢａｎｋ(株),15:00,235,27.03,50,1323000
4,5,7359,マザーズ,(株)東京通信,15:00,2043,24.35,400,847000
5,6,4180,マザーズ,Ａｐｐｉｅｒ　Ｇｒｏｕｐ(株),15:00,1900,18.01,290,16334500
6,7,3223,東証JQS,(株)エスエルディー,15:00,698,16.72,100,30700
7,8,4055,マザーズ,ティアンドエス(株),15:00,5070,16.15,705,283300
8,9,4165,マザーズ,(株)プレイド,15:00,4200,15.38,560,1590100
9,10,6743,東証2部,大同信号(株),14:57,690,14.24,86,7700
10,11,4168,マザーズ,(株)ヤプリ,15:00,4940,12.27,540,424000
11,12,4477,マザーズ,ＢＡＳＥ(株),15:00,1762,10.61,169,5394900
12,13,7092,マザーズ,(株)Ｆａｓｔ　Ｆｉｔｎｅｓｓ　Ｊａｐａｎ,15:00,3885,10.06,355,190400
13,14,7095,マザーズ,(株)Ｍａｃｂｅｅ　Ｐｌａｎｅｔ,15:00,6800,10.03,620,123300
14,15,8918,東証1部,(株)ランド,15:00,11,10,1,31358900
15,16,6627,マザーズ,(株)テラプローブ,15:00,1270,9.86,114,279400
16,17,2975,東証1部,スター・マイカ・ホールディングス(株),15:00,1332,9.72,118,424900
17,18,8750,東証1部,第一生命ホールディングス(株),15:00,2083,9.52,181,18737600
18,19,4709,東証1部,(株)ＩＤホールディングス,15:00,1394,9.33,119,213600
19,20,4177,マザーズ,(株)ｉ−ｐｌｕｇ,15:00,4485,9.12,375,786700
20,21,1696,東証ETF,WisdomTree とうもろこし上場投信,15:00,111,8.82,9,330700
21,22,9976,東証JQS,(株)セキチュー,15:00,2150,8.59,170,40400
22,23,3267,東証1部,(株)フィル・カンパニー,15:00,2442,8.58,193,213700
23,24,6966,東証1部,(株)三井ハイテック,15:00,5020,8.42,390,811900
24,25,4424,マザーズ,(株)Ａｍａｚｉａ,15:00,1957,8.36,151,172100
25,26,3035,東証JQS,ケイティケイ(株),15:00,441,8.09,33,2098000
26,27,6027,マザーズ,弁護士ドットコム(株),15:00,9400,7.92,690,225700
27,28,2332,東証JQS,(株)クエスト,15:00,1560,7.88,114,88300
28,29,6196,東証1部,(株)ストライク,15:00,4755,7.7,340,355600
29,30,6323,東証1部,ローツェ(株),15:00,8400,7.42,580,282700
30,31,7360,マザーズ,(株)オンデック,15:00,4055,7.42,280,19400
31,32,3445,東証1部,(株)ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,15:00,6850,7.2,460,148500
32,33,4828,東証1部,ビジネスエンジニアリング(株),15:00,3720,7.2,250,31400
33,34,9327,東証JQS,(株)イー・ロジット,15:00,1774,7.19,119,377300
34,35,6993,東証2部,大黒屋ホールディングス(株),15:00,45,7.14,3,12168600
35,36,3991,マザーズ,ウォンテッドリー(株),15:00,2030,6.67,127,31300
36,37,2375,東証2部,ギグワークス(株),15:00,1124,6.64,70,737800
37,38,4593,マザーズ,(株)ヘリオス,15:00,1779,6.59,110,652800
38,39,6387,東証1部,サムコ(株),15:00,3395,6.59,210,208900
39,40,7527,東証1部,(株)システムソフト,15:00,178,6.59,11,7525300
40,41,7734,東証1部,理研計器(株),15:00,2936,6.57,181,53900
41,42,9438,東証1部,(株)エムティーアイ,15:00,861,6.56,53,163200
42,43,2413,東証1部,エムスリー(株),15:00,8059,6.45,488,5557500
43,44,7717,東証1部,(株)ブイ・テクノロジー,15:00,5800,6.42,350,191800
44,45,4497,マザーズ,(株)ロコガイド,15:00,3680,6.36,220,65600
45,46,7033,東証1部,(株)マネジメントソリューションズ,15:00,2264,6.34,135,274500
46,47,3788,東証1部,ＧＭＯグローバルサイン・ホールディングス(株),15:00,7220,6.33,430,176100
47,48,2929,東証1部,(株)ファーマフーズ,15:00,3795,6.3,225,4170500
48,49,1438,名証2部,(株)岐阜造園,14:08,1828,6.28,108,600
49,50,9610,東証JQS,ウィルソン・ラーニング　ワールドワイド(株),15:00,238,6.25,14,402600
